Designator,Mid X,Mid Y,Rotation,Layer
BUZ1,187.25,-73.25,45.0,bottom
C1,112.75,-139.0,90.0,top
C10,169.25,-136.75,315.0,top
C11,175.0,-133.0,135.0,top
C12,170.75,-128.25,135.0,top
C13,165.25,-133.75,135.0,top
C14,102.75,-99.75,180.0,top
C15,100.5,-99.75,0.0,top
C16,105.25,-94.25,270.0,top
C17,95.75,-105.25,270.0,top
C18,108.25,-94.25,270.0,top
C19,98.25,-93.75,270.0,top
C2,85.2575,-99.5125,0.0,top
C20,97.25,-93.75,270.0,top
C21,100.25,-93.75,270.0,top
C22,99.25,-93.75,270.0,top
C23,95.0,-107.25,90.0,top
C24,93.5,-107.75,180.0,top
C25,99.5,-89.0,180.0,top
C27,106.25,-94.25,270.0,top
C28,120.25,-136.5,270.0,top
C29,176.66,-78.0,135.0,top
C3,82.6875,-94.3625,180.0,top
C30,177.41,-77.25,135.0,top
C31,193.0,-101.0,90.0,top
C32,188.5,-103.75,0.0,top
C33,187.0,-102.48,90.0,top
C34,192.0,-92.5,0.0,top
C35,187.0,-146.5,180.0,top
C36,103.88,-79.67,90.0,top
C37,93.25,-77.25,0.0,top
C38,94.38,-74.75,0.0,top
C39,104.63,-74.67,225.0,top
C4,77.7375,-94.0125,270.0,top
C40,107.63,-78.92,225.0,top
C41,94.325,-76.075,0.0,top
C42,179.673797,-73.826203,45.0,top
C43,173.0,-90.75,135.0,top
C44,107.0,-97.5,270.0,top
C45,194.25,-87.25,315.0,top
C46,184.25,-97.25,135.0,top
C47,174.75,-93.5,135.0,top
C48,173.75,-90.0,135.0,top
C49,179.75,-99.25,225.0,top
C5,79.9875,-94.0125,270.0,top
C50,172.25,-85.25,135.0,top
C51,184.25,-75.25,45.0,top
C52,171.5,-86.0,135.0,top
C53,183.5,-74.5,45.0,top
C54,183.5,-98.0,135.0,top
C55,195.0,-86.5,315.0,top
C56,175.5,-92.75,135.0,top
C57,193.75,-89.0,225.0,top
C58,186.0,-75.75,315.0,top
C59,169.75,-92.75,315.0,top
C6,85.7875,-94.3625,0.0,top
C60,172.926777,-98.878858,135.0,top
C61,171.516188,-97.468269,135.0,top
C62,171.25,-94.25,135.0,top
C63,170.25,-102.25,270.0,top
C64,178.0,-96.5,225.0,top
C65,178.75,-95.160589,135.0,top
C66,93.0,-80.5,90.0,top
C67,196.19,-73.72,0.0,top
C68,196.19,-74.72,0.0,top
C69,98.75,-142.5,0.0,top
C7,90.7375,-94.0125,270.0,top
C70,108.25,-142.0,0.0,top
C71,110.25,-142.25,0.0,top
C72,108.25,-141.0,180.0,top
C73,110.25,-138.125,180.0,top
C74,95.75,-130.25,180.0,top
C75,94.5,-141.24,0.0,top
C76,91.75,-136.77,270.0,top
C77,193.0,-146.5,0.0,top
